sample	accession	flowcell	lane	date	location	coordinates
BH3-2	ERR5883998	HJ5JVDSXY	002	7.8.2020	Blackfort hill 3	55.924039, -3.196509
WW1-2	ERR5883999	HJ5JVDSXY	002	3.8.2020	Whytham woods 1	51.773444, -1.319222
WW1-4	ERR5884000	HJ5JVDSXY	002	3.8.2020	Whytham woods 1	51.773444, -1.319222
WW2-1	ERR5884001	HJ5JVDSXY	002	3.8.2020	Whytham woods 2	51.775212, -1.315594
WW2-5	ERR5884002	HJ5JVDSXY	002	3.8.2020	Whytham woods 2	51.775212, -1.315594
WW2-6	ERR5884003	HJ5JVDSXY	002	3.8.2020	Whytham woods 2	51.775212, -1.315594
WW3-1	ERR5884004	HJ5JVDSXY	002	3.8.2020	Whytham woods 3	51.779333, -1.339361
WW5-1	ERR5884005	HJ5JVDSXY	002	4.8.2020	Whytham woods 5	51.779333, -1.339361
WW5-3	ERR5884006	HJ5JVDSXY	002	4.8.2020	Whytham woods 5	51.779333, -1.339361
WW5-4	ERR5884007,ERR6022015	HJ5FNDSXY,HJHGLDSXY	002,004	4.8.2020	Whytham woods 5	51.779333, -1.339361
WW5-5	ERR5884008	HJ5JVDSXY	002	4.8.2020	Whytham woods 5	51.779333, -1.339361
WW5-6	ERR5884009,ERR6022016	HJ5FNDSXY,HJHGLDSXY	002,004	4.8.2020	Whytham woods 5	51.779333, -1.339361
Afus1	ERR5959256	AHHMYHCCXY	001	1.9.2017	Amsterdam 1	52.327169, 4.854666
